id,comercio,meses_distintos,es_recurrente
003d9abe467a91847d566cf455bd2d7d6c8f7e75,AMAZON,5,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,AMAZON PRIME,13,1
003d9abe467a91847d566cf455bd2d7d6c8f7e75,CASHI ECOMMERCE,1,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,CINEPOLIS,4,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,DIDI,6,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,DIDI FOOD,6,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,DIDI RIDES,13,1
003d9abe467a91847d566cf455bd2d7d6c8f7e75,DIDIFOOD,3,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,ITUNES,4,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,KUESKI PAY,11,1
003d9abe467a91847d566cf455bd2d7d6c8f7e75,MERCADO PAGO,12,1
003d9abe467a91847d566cf455bd2d7d6c8f7e75,MERCADOPAGO,5,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,MICROSOFT,2,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,OXXO,5,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,RAPPI,9,1
003d9abe467a91847d566cf455bd2d7d6c8f7e75,SAMS CLUB,3,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,SPOTIFY,13,1
003d9abe467a91847d566cf455bd2d7d6c8f7e75,STARBUCKS,5,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,SUPERCENTER,1,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,TOTALPLAY,1,0
003d9abe467a91847d566cf455bd2d7d6c8f7e75,UBER,13,1
003d9abe467a91847d566cf455bd2d7d6c8f7e75,UBER EATS,7,1
003d9abe467a91847d566cf455bd2d7d6c8f7e75,WALMART,4,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,AMAZON,13,1
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,AMAZON PRIME,9,1
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,APPLE,3,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,CARLS JR,2,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,CFE,1,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,CHEDRAUI,5,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,CINEPOLIS,2,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,COSTCO,10,1
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,FARMACIAS DEL AHORRO,2,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,FARMACIAS GUADALAJARA,4,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,GOOGLE ONE,1,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,HEB,2,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,LIVERPOOL,7,1
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,MAX,2,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,MERCADO PAGO,3,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,MICROSOFT,13,1
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,NETFLIX,11,1
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,OXXO,13,1
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,OXXO GAS,13,1
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,RAPPI,8,1
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,SAMS CLUB,4,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,SHEIN,1,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,SORIANA,5,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,STARBUCKS,4,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,SUPERCENTER,6,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,TELCEL,7,1
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,TELMEX,1,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,UBER,6,0
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,UBER EATS,12,1
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,WAL-MART,2,0
0132462ee1acf1c37e7411b20bac94e1d19959df,ALIEXPRESS,1,0
0132462ee1acf1c37e7411b20bac94e1d19959df,AMAZON,10,1
0132462ee1acf1c37e7411b20bac94e1d19959df,AMAZON PRIME,2,0
0132462ee1acf1c37e7411b20bac94e1d19959df,CARLS JR,2,0
0132462ee1acf1c37e7411b20bac94e1d19959df,CFE,5,0
